10.152.40.126,5,2015-12-13 17:18:53,2015-12-13 17:18:08,%LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet 0/30  changed state to up.
10.152.40.126,5,2015-12-13 17:18:57,2015-12-13 17:18:12,%SPANTREE-5-TOPOTRAP: Topology Change Trap for instance 0.
10.152.38.253,5,2015-12-13 17:21:04,2015-12-13 17:20:19,%SPANTREE-5-TOPOTRAP: Topology Change Trap for instance 0.
10.152.38.253,5,2015-12-13 17:21:04,2015-12-13 17:20:20,%LINK-3-UPDOWN: Interface FastEthernet 0/2  changed state to down.
10.152.38.253,5,2015-12-13 17:21:04,2015-12-13 17:20:20,%LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet 0/2  changed state to down.
10.152.38.253,5,2015-12-13 17:21:12,2015-12-13 17:20:27,%LINK-3-UPDOWN: Interface FastEthernet 0/2  changed state to up.
10.152.38.253,5,2015-12-13 17:21:12,2015-12-13 17:20:27,%LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet 0/2  changed state to up.
10.152.38.253,5,2015-12-13 17:21:12,2015-12-13 17:20:29,%SPANTREE-5-TOPOTRAP: Topology Change Trap for instance 0.
10.152.38.253,5,2015-12-13 17:24:05,2015-12-13 17:23:20,%SPANTREE-5-TOPOTRAP: Topology Change Trap for instance 0.
10.152.38.253,5,2015-12-13 17:24:05,2015-12-13 17:23:22,%LINK-3-UPDOWN: Interface FastEthernet 0/2  changed state to down.
10.152.38.253,5,2015-12-13 17:24:05,2015-12-13 17:23:22,%LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet 0/2  changed state to down.
10.152.38.253,5,2015-12-13 17:24:10,2015-12-13 17:23:25,%LINK-3-UPDOWN: Interface FastEthernet 0/2  changed state to up.
10.152.38.253,5,2015-12-13 17:24:11,2015-12-13 17:23:25,%LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet 0/2  changed state to up.
10.152.38.253,5,2015-12-13 17:24:15,2015-12-13 17:23:30,%SPANTREE-5-TOPOTRAP: Topology Change Trap for instance 0.
10.152.38.253,5,2015-12-13 17:24:15,2015-12-13 17:23:32,%LINK-3-UPDOWN: Interface FastEthernet 0/2  changed state to down.
10.152.38.253,5,2015-12-13 17:24:15,2015-12-13 17:23:32,%LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet 0/2  changed state to down.
10.152.38.253,5,2015-12-13 17:24:23,2015-12-13 17:23:38,%LINK-3-UPDOWN: Interface FastEthernet 0/2  changed state to up.
10.152.38.253,5,2015-12-13 17:24:24,2015-12-13 17:23:38,%LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet 0/2  changed state to up.
10.152.38.253,5,2015-12-13 17:24:24,2015-12-13 17:23:41,%SPANTREE-5-TOPOTRAP: Topology Change Trap for instance 0.
10.152.38.254,5,2015-12-13 17:26:59,2015-12-13 17:26:14,%SPANTREE-5-TOPOTRAP: Topology Change Trap for instance 0.
10.152.38.254,5,2015-12-13 17:26:59,2015-12-13 17:26:15,%LINK-3-UPDOWN: Interface FastEthernet 0/28  changed state to down.
10.152.38.254,5,2015-12-13 17:27:00,2015-12-13 17:26:15,%LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet 0/28  changed state to down.
10.152.38.254,5,2015-12-13 17:27:03,2015-12-13 17:26:17,%LINK-3-UPDOWN: Interface FastEthernet 0/28  changed state to up.
10.152.38.254,5,2015-12-13 17:27:03,2015-12-13 17:26:17,%LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet 0/28  changed state to up.
10.152.38.254,5,2015-12-13 17:27:07,2015-12-13 17:26:22,%SPANTREE-5-TOPOTRAP: Topology Change Trap for instance 0.
10.152.38.253,5,2015-12-13 17:27:20,2015-12-13 17:26:35,%SPANTREE-5-TOPOTRAP: Topology Change Trap for instance 0.
10.152.38.253,5,2015-12-13 17:27:20,2015-12-13 17:26:36,%LINK-3-UPDOWN: Interface FastEthernet 0/2  changed state to down.
10.152.38.253,5,2015-12-13 17:27:20,2015-12-13 17:26:36,%LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet 0/2  changed state to down.
10.152.38.253,5,2015-12-13 17:27:25,2015-12-13 17:26:40,%LINK-3-UPDOWN: Interface FastEthernet 0/2  changed state to up.
10.152.38.253,5,2015-12-13 17:27:25,2015-12-13 17:26:40,%LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet 0/2  changed state to up.
10.152.38.253,5,2015-12-13 17:27:29,2015-12-13 17:26:44,%SPANTREE-5-TOPOTRAP: Topology Change Trap for instance 0.
10.152.38.253,5,2015-12-13 17:41:06,2015-12-13 17:40:21,%SPANTREE-5-TOPOTRAP: Topology Change Trap for instance 0.
10.152.38.253,5,2015-12-13 17:41:06,2015-12-13 17:40:23,%LINK-3-UPDOWN: Interface FastEthernet 0/14  changed state to down.
10.152.38.253,5,2015-12-13 17:41:06,2015-12-13 17:40:23,%LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet 0/14  changed state to down.
10.152.38.253,5,2015-12-13 17:44:02,2015-12-13 17:43:17,%SPANTREE-5-TOPOTRAP: Topology Change Trap for instance 0.
10.152.38.253,5,2015-12-13 17:44:02,2015-12-13 17:43:18,%LINK-3-UPDOWN: Interface FastEthernet 0/2  changed state to down.
10.152.38.253,5,2015-12-13 17:44:02,2015-12-13 17:43:18,%LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet 0/2  changed state to down.
10.152.38.253,5,2015-12-13 17:44:10,2015-12-13 17:43:25,%LINK-3-UPDOWN: Interface FastEthernet 0/2  changed state to up.
10.152.38.253,5,2015-12-13 17:44:10,2015-12-13 17:43:25,%LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet 0/2  changed state to up.
10.152.38.253,5,2015-12-13 17:44:10,2015-12-13 17:43:28,%SPANTREE-5-TOPOTRAP: Topology Change Trap for instance 0.
10.152.38.253,5,2015-12-13 17:47:03,2015-12-13 17:46:18,%SPANTREE-5-TOPOTRAP: Topology Change Trap for instance 0.
10.152.38.253,5,2015-12-13 17:47:03,2015-12-13 17:46:20,%LINK-3-UPDOWN: Interface FastEthernet 0/2  changed state to down.
10.152.38.253,5,2015-12-13 17:47:03,2015-12-13 17:46:20,%LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet 0/2  changed state to down.
10.152.38.253,5,2015-12-13 17:47:08,2015-12-13 17:46:23,%LINK-3-UPDOWN: Interface FastEthernet 0/2  changed state to up.
